name,popularity
Jacklyn Thrapp,0.6
V. S. Roopa Lakshmi,0.6
Patricia Pinto,0.6
Monica Pinto,0.6
Francesca Pinto,0.6
Nicholas Pinto,0.6
John Kokken,0.6
Kedar Shankara,0.6
Aaditi Agarwal,0.98
Seetha,1.566
Amanchi Venkata Subrahmanyam,0.6
Subbaraya Sharma,0.6
Poonam Bajwa,0.859
Arya,0.652
Bhanu Sri Mehra,1.96
Suhasini Maniratnam,0.6
Vinaya Prasad,0.6
Diksha Panth,0.6
Pradeep Machiraju,0.6
Upendra,0.6
Sneha,0.98
Sampath Raj,1.22
Sree Vishnu,0.6
Catherine Tresa,0.6
Aditi Chengappa,0.6
Krishnam Raju,1.22
Hamsa Nandini,0.6
Adithya Menon,1.4
Baba Sehgal,0.6
Prabha,0.6
Jayaram,0.6
Sushanth,0.6
Nivetha Pethuraj,0.778
Samuthirakani,0.727
Tabu,2.631
Rahul Ramakrishna,0.6
Sachin Khedekar,0.6
Govind Padmasoorya,0.6
Chammak Chandra,1.841
Ananth Babu,0.6
Vaishnavi Chaitanya,0.6
Gajala,0.6
Keerthi Chawla,0.789
Sameera Reddy,0.84
Ameesha Patel,0.6
Kalabhavan Mani,1.38
Saranya Ponvannan,0.766
Amit Kumar Tiwari,0.6
Mamta Mohandas,1.4
Priyamani,0.648
Navaneet Kaur,0.694
Preeti Jhangiani,1.4
Mohan Babu,0.6
Tanishaa Mukerji,0.98
Krishna Bhagavan,0.6
Jackie Shroff,1.388
Manjari Phadnis,0.98
Vidyut Jammwal,0.6
Pooja Bedi,0.6
Manju Bhargavi,0.6
Raghu,0.6
Giridhar,0.98
Yamini Bhaskar,0.98
Rakul Preet Singh,0.692
Madhoo,1.614
Shweta Agarwal,0.6
Anshu,0.6
Simran,0.84
Padmanabham,0.6
Venu Tillu,0.6
Namitha,0.648
Kelly Dorji,0.6
Deeksha Seth,0.917
Supreet,0.6
Tej Sapru,0.6
K. C. Shankar,0.6
Shraddha Kapoor,0.608
Neil Nitin Mukesh,0.6
Mandira Bedi,2.066
Arun Vijay,0.6
Prakash Belawadi,1.008
Evelyn Sharma,1.566
Chunky Pandey,0.6
Lal,0.6
Tinnu Anand,0.6
Aditya Srivastava,0.6
Jacqueline Fernandez,1.128
Girish Garladinne,0.6
Kumar Raja Venati,0.6
Naveen Varma Ganapathiraju,0.6
Sivakrishna,0.6
Sasha Chettri,0.6
Mukhtar Khan,0.6
Ravi Teja,1.094
Shaam,0.6
Hazel Keech,0.98
Enrique Murciano,1.4
Nicholas Gonzalez,3.957
Clancy Brown,7.6
Yvette Yates Redick,1.553
Rafael Agustin,0.6
Tanya R. Barnes,0.6
Robert Beltran,1.4
Wanda De Jesus,0.776
Dan Donohue,1.312
Barry Shabaka Henley,2.825
Katrina Matusek,0.6
Trisha Paytas,0.6
Anjana Sukhani,0.6
Srihari,2.091
Sai Dharam Tej,1.38
Regina Cassandra,1.026
Nagendra Babu,1.048
Mast Ali,0.6
Surekha Vani,0.932
Ravi Kishan,0.6
Kabir Duhan Singh,0.6
Nellore Sudharshan,1.4
Mannara Chopra,0.6
Larissa Bonesi,0.6
Krishna,0.6
Mehreen Pirzada,1.38
Prasanna,0.6
Easwari Rao,0.6
Pavitra Lokesh,0.831
Viva Harsha,0.84
Karthik Adusumalli,0.6
Vijayakumar,0.6
Hari Teja,0.6
Kalyani Natarajan,1.124
Satya,0.98
Bellamkonda Srinivas,0.631
Sonarika Bhadoria,1.4
Pragya Jaiswal,0.98
R. Sarathkumar,0.855
Vani Viswanath,1.381
Nandu,0.648
Tarun Arora,0.6
Shravan,0.6
Amulya,0.6
Ester Noronha,1.159
Ashutosh Rana,0.828
Madhu Guruswamy,0.6
Pithamagan Mahadevan,1.55
Harshvardhan Rane,1.018
Harish Uthaman,0.98
C. V. L. Narasimha Rao,0.6
Manava Koteswara Rao,0.6
Sravan,0.6
Jabardasth Shaking Seshu,0.6
Payal Rajput,1.4
Rethika Srinivas,0.6
Suzane George,0.702
Shivaji Raja,0.6
Vinod Sagar,0.98
Keshav Deepak,0.6
Saravanan,0.6
Raveena,0.98
Vijay Devarakonda,1.384
Pooja Jhaveri,0.728
Shakalaka Shankar,0.6
Shalini Pandey,0.981
Kanchana,0.6
Sanjay Swaroop,0.6
Gopinath Bhat,0.6
Priyadarshi Pullikonda,0.6
Aditi Myakal,0.6
Anisha Alla,0.6
Sandhya Janak,0.6
Jia Sharma,0.6
Bhushan Kalyan,0.6
Sri Sudha Bhimireddy,2.157
Lahari Shari,0.6
Rashmika Mandanna,1.427
Giri Babu,0.6
Anu Emmanuel,1.4
Abhay Bethiganti,2.076
Swapnika,0.6
Yashika Anand,1.913
Sanchana Natarajan,0.6
M. S. Bhaskar,0.6
Rajendran,1.116
K. S. G. Venkatesh,0.6
Anastasia Maslova,0.6
Karunakaran,0.772
Abhirami Venkatachalam,1.315
Priyanka Jawalkar,0.6
Malavika Nair,0.6
Madhunandan,0.6
Shiju,1.4
Yamuna,0.6
Vishnu Oi,0.6
Kaveri,0.6
Shruthi Ramachandran,0.6
Suhas,0.6
Raj Arjun,0.6
Charu Haasan,0.6
Anand,0.608
Aishwarya Rajesh,1.666
Izabelle Leite,0.6
Chakrapani Ananda,0.6
Shatru,0.6
Indhu,0.6
Mishti Chakravarty,0.98
Yami Gautam,0.6
Megha Akash,0.84
Pramodini Pammi,1.318
Nandita Swetha,0.772
Anant Nag,0.6
Jisshu Sengupta,0.694
Heeba Patel,0.608
Subhalekha Sudhakar,0.6
Mime Gopi,0.6
Mirchi Kiran,0.6
Varun Tej,0.98
Sapna Pabbi,0.84
Aditi Gowitrikar,1.382
Achyuth,0.6
Kitty,0.6
Mallikarjuna Rao,0.6
Ironleg Sastri,0.6
Raghunatha Reddy,0.6
Bhumika Chawla,0.84
Mumtaj,0.6
Rajan P Dev,0.703
Janaki Sabesh,0.6
S. J. Surya,0.777
Ravi Mariya,1.38
Renu Desai,0.6
Geetha,1.646
Raghuvaran,1.388
Meera Jasmine,0.98
Neha Oberoi,1.4
Gulshan Grover,0.937
Nikeesha Patel,0.6
Charan Raj,0.6
Girish Karnad,0.6
Sarah-Jane Dias,0.84
Anjali Lavania,0.6
Atul Kulkarni,1.388
Adivi Sesh,0.716
Boman Irani,0.732
Navika Kotia,0.6
Manasa Himavarsha,0.6
Bhanu Sree,0.6
Keerthi Suresh,1.677
Aadhi Pinisetty,0.98
Khushboo,1.4
Parag Tyagi,0.6
Adukalam Naren,0.6
Audra McDonald,2.101
Martha Plimpton,3.53
T.R. Knight,0.61
Rumer Willis,1.806
Jenna Ushkowitz,1.273
Nolan Gerard Funk,1.688
Sam Underwood,2.016
Tyler Blackburn,0.612
Al Calderon,0.6
Cheyenne Jackson,1.403
Ramón Olmos Torres,0.6
Akhil Akkineni,0.6
