name,popularity
Jugal Hansraj,0.6
Simone Singh,0.6
Aryan Khan,0.6
Jibraan Khan,0.6
Sushma Seth,0.6
Shashikala,0.6
Tamzin Griffin,0.6
Ramona Sunavala,0.6
Jeroo Writer,0.6
Vikas Sethi,0.6
Malvika Raaj,0.6
Holly Holdsworth,0.6
Kavesh Majmudar,0.6
Jessey Lever,0.6
Amar Adatia,0.6
Amith Rahman,0.6
Ali Haji,0.6
Bharat Mistri,0.6
Dalip Tahil,1.4
Ashish Vidhyarthi,1.03
Tanaaz Currim Irani,0.6
Rajesh Tandon,1.4
Vrajesh Hirjee,0.6
Kamya Punjabi,1.4
Asha Patel,0.6
Ram Mohan,0.6
Jasveer Kaur,0.6
Mamta Kulkarni,1.4
Ranjeet,0.6
Aashif Sheikh,0.6
Ashok Saraf,1.4
Jack Gaud,1.22
Arjun,0.6
Ila Arun,0.6
Kishore Anand Bhanushali,0.6
Suresh Chatwal,0.98
Salim Khan Ding-Dong,0.6
John Gabriel,0.6
Dinesh Hingoo,1.394
Raj Kishore,0.6
Anil Nagrath,0.6
Ghanshyam Rohera,0.6
Babbanlal Yadav,0.6
Gavin Packard,1.96
Madhuri Dixit,1.502
Akshay Kumar,2.59
Deven Verma,0.84
Aruna Irani,0.957
Shahid Kapoor,1.672
Sonali Bendre,1.446
Saif Ali Khan,1.88
Mahesh Thakur,1.4
Ajit Vachhani,0.6
Sadashiv Amrapurkar,1.22
Shammi,0.6
Rajeev Verma,0.6
Shakti Kapoor,0.84
Dilip Dhawan,0.6
Sheela Sharma,0.6
Kunickaa Sadanand,0.6
Jayshree T.,0.6
Kalpana Iyer,0.751
Huma Khan,0.6
Jatin Kanakia,0.6
Zoya Afroz,0.98
Ranveer Singh,1.67
Deepika Padukone,5.167
Jim Sarbh,0.6
Aayam Mehta,0.6
Ujjwal Chopra,0.6
Raza Murad,0.609
Aditi Rao Hydari,0.652
Padmavati Rao,0.6
Ashwin Dhar,0.98
Veena Mehta,0.6
Vibhav Roy,0.6
Muzzamil Bhavani,0.98
Deepak Shreemali,0.6
Manish Wadhwa,0.6
Hriiday Malhotra,0.6
Sharhaan Singh,0.6
Lankesh Bhardwaj,0.6
Komal Chhabria,0.696
Qutee Negpal,0.98
Ali Quli Mirza,0.6
Chintoo Singh Vasir,0.6
Mayank Kathak,0.6
Gulshan Walia,0.6
Saar Kashyap,0.6
Daljeet Sean Singh,0.6
Nazir Hussian,0.6
Swaroop Khan,0.6
Meena Mehta,0.6
Priyanka Pawar,0.6
Rohit Choudhary,0.6
Aslam Anwar,0.6
Akshay Sharma,0.6
Anuj Sharma,0.6
Mohammad Sakir,0.6
Mursaleem Qureshi,0.6
Deepak Sharma,0.6
Gopal Thakur,0.6
Aneesha Joshi,0.6
Farhan Siddique,0.6
Ayaz Khan,0.608
Anuj Khurana,0.6
Sanjeev Sharma,0.6
Alisha Soni,0.6
Arvinder Shagmer Gill,0.6
Mona Shetty,0.6
Aishwarya Rai Bachchan,2.504
Jimmy Shergill,1.367
Preeti Jhangiani,0.6
Kim Sharma,1.4
Shamita Shetty,0.6
Shefali Shah,0.6
Helen,0.987
Hiten Patel,0.6
Raman Lamba,0.6
Geri Andrade,0.6
Rushad Rana,0.6
Mehul Nisar,0.6
Palash Dutta,0.6
Pearl Sukhadia,0.6
Meghna Patel,0.6
Sitaram,0.6
Gurdial Sira,0.694
Harpal Singh,0.6
Tiger Shroff,1.4
Vaani Kapoor,1.094
Ashutosh Rana,0.728
Dipannita Sharma,0.84
R. Bhakti Klein,0.6
Soni Razdan,0.98
Arif Zakaria,0.694
Nikitin Dheer,0.98
Manorama,0.732
Mukesh Tiwari,1.4
Kamini Kaushal,0.6
Rakesh Kukreti,0.6
Priyamani,1.176
Delhi Ganesh,0.6
Mohan Raman,0.6
Yogi Babu,1.96
Sonakshi Sinha,1.4
Arbaaz Khan,1.4
Sonu Sood,1.38
Vinod Khanna,0.98
Dimple Kapadia,1.199
Mahesh Manjrekar,0.757
Mahie Gill,1.264
Tinnu Anand,1.158
Malaika Arora Khan,0.98
Amitosh Nagpal,0.6
